,audio_path,transcript,sentence,normalized_sentence,items
0,items_ordering_audios/2024_06_28 11_12_40 DbcADQ.wav,Add a Seek Kavabab and Tunduri chicken with 14 inch large to my cart.,"Add a Seekh Kebab, and Tandoori Chicken with Large 14"" to my cart.","Add a Seekh Kebab, and Tandoori Chicken with large 14"" to my cart.","[{""name"": ""Seekh Kebab"", ""modifier_option"": null}, {""name"": ""Tandoori Chicken"", ""modifier_option"": ""Large 14\""""}]"
1,items_ordering_audios/2024_06_28 11_12_47 LRr7hQ.wav,"At a California hand roll with new utensils, spicy tuna hand roll with yes, include utensils and Unagi hand roll to my cart.","Add a California Hand Roll with No utensils., Spicy Tuna Hand Roll with Yes, include utensils., and Unagi Hand Roll to my cart.","Add a California Hand Roll with no utensils., Spicy Tuna Hand Roll with yes, include utensils., and Unagi Hand Roll to my cart.","[{""name"": ""California Hand Roll"", ""modifier_option"": ""No utensils.""}, {""name"": ""Spicy Tuna Hand Roll"", ""modifier_option"": ""Yes, include utensils.""}, {""name"": ""Unagi Hand Roll"", ""modifier_option"": null}]"
2,items_ordering_audios/2024_06_28 11_13_25 5sY1bA.wav,I would like to get the jira rice and masala chai.,"I would like to get a Jeera Rice, and Masala Chai.","I would like to get a Jeera Rice, and Masala Chai.","[{""name"": ""Jeera Rice"", ""modifier_option"": null}, {""name"": ""Masala Chai"", ""modifier_option"": null}]"
3,items_ordering_audios/2024_06_28 11_15_20 MGwfpQ.wav,Can I get butter chicken with hours 14 minutes and Gulab German please?,"Can I get the Butter Chicken with Large 14"", and Gulab Jamun, please?","Can I get the Butter Chicken with large 14"", and Gulab Jamun, please?","[{""name"": ""Butter Chicken"", ""modifier_option"": ""Large 14\""""}, {""name"": ""Gulab Jamun"", ""modifier_option"": null}]"
4,items_ordering_audios/2024_06_28 11_20_59 UTrvLw.wav,I'll have the veggie scramble and whole meat toast and southern scramble with milk small cheese.,"I'll have the Veggie Scramble with Whole Wheat Toast, and Southern Scramble with Milk - Small please.","I'll have the Veggie Scramble with whole wheat toast, and Southern Scramble with milk - small please.","[{""name"": ""Veggie Scramble"", ""modifier_option"": ""Whole Wheat Toast""}, {""name"": ""Southern Scramble"", ""modifier_option"": ""Milk - Small""}]"
5,items_ordering_audios/2024_06_28 11_22_28 JjhJVA.wav,"Make it a fish, cassidia and mild sauce and enchiladas de moly with soup cup and horchata with small for me.","Make it a Fish Quesadilla with Mild Sauce, Enchiladas De Mole with Soup cup, and Horchata with Small for me.","Make it a Fish Quesadilla with mild sauce, Enchiladas De Mole with soup cup, and Horchata with small for me.","[{""name"": ""Fish Quesadilla"", ""modifier_option"": ""Mild Sauce""}, {""name"": ""Enchiladas De Mole"", ""modifier_option"": ""Soup cup""}, {""name"": ""Horchata"", ""modifier_option"": ""Small""}]"
6,items_ordering_audios/2024_06_28 11_23_03 hEN1IQ.wav,Could I get a Canadian bacon and super nachos with veggies?,"Could I get a Canadian Bacon, and Super Nachos with veggies?","Could I get a Canadian Bacon, and Super Nachos with veggies?","[{""name"": ""Canadian Bacon"", ""modifier_option"": null}, {""name"": ""Super Nachos"", ""modifier_option"": ""veggies""}]"
7,items_ordering_audios/2024_06_28 11_23_37 z0VYkQ.wav,"Could I get the fish wrap, chef's salad with select Caesar dressing and anti-pesto salad with blue cheese?","Could I get the Fish Wrap, Chef'S Salad with Select Caesar Dressing, and Antipasto Salad with Blue Cheese?","Could I get the Fish Wrap, Chef'S Salad with select caesar dressing, and Antipasto Salad with blue cheese?","[{""name"": ""Fish Wrap"", ""modifier_option"": null}, {""name"": ""Chef'S Salad"", ""modifier_option"": ""Select Caesar Dressing""}, {""name"": ""Antipasto Salad"", ""modifier_option"": ""Blue Cheese""}]"
8,items_ordering_audios/2024_06_28 11_42_17 B5ptpQ.wav,"It will be the tender greens with oyster sauce, house special beef and beef with snow peas for me.","It will be the Tender Greens With Oyster Sauce, House Special Beef, and Beef With Snow Peas for me.","It will be the Tender Greens With Oyster Sauce, House Special Beef, and Beef With Snow Peas for me.","[{""name"": ""Tender Greens With Oyster Sauce"", ""modifier_option"": null}, {""name"": ""House Special Beef"", ""modifier_option"": null}, {""name"": ""Beef With Snow Peas"", ""modifier_option"": null}]"
9,items_ordering_audios/2024_06_28 11_42_49 JayBxQ.wav,"I'll have a sizzling beef with black pepper sauce, Hunan chicken, spicy and pork chop sweet.","I'll have a Sizzinling Beef With Black Pepper Sauce, Hunan Chicken (Spicy), and Pork Chop Sui.","I'll have a Sizzinling Beef With Black Pepper Sauce, Hunan Chicken (Spicy), and Pork Chop Sui.","[{""name"": ""Sizzinling Beef With Black Pepper Sauce"", ""modifier_option"": null}, {""name"": ""Hunan Chicken (Spicy)"", ""modifier_option"": null}, {""name"": ""Pork Chop Sui"", ""modifier_option"": null}]"
10,items_ordering_audios/2024_06_28 11_45_32 pb8Tfg.wav,Can I get the sizzling honan prawn spicy and house special chau fun please?,"Can I get the Sizziling Hunan Prawns (Spicy), and House Special Chow Fun, please?","Can I get the Sizziling Hunan Prawns (Spicy), and House Special Chow Fun, please?","[{""name"": ""Sizziling Hunan Prawns (Spicy)"", ""modifier_option"": null}, {""name"": ""House Special Chow Fun"", ""modifier_option"": null}]"
11,items_ordering_audios/2024_06_28 11_46_13 lom3Dw.wav,I'll have the shrimp egg Foo Yang and Sichuan beef please.,"I'll have the Shrimp Egg Foo-Yung, and Szechuan Beef please.","I'll have the Shrimp Egg Foo-Yung, and Szechuan Beef please.","[{""name"": ""Shrimp Egg Foo-Yung"", ""modifier_option"": null}, {""name"": ""Szechuan Beef"", ""modifier_option"": null}]"
12,items_ordering_audios/2024_06_28 11_46_49 lAEoOQ.wav,Can I get the packing duck with half and vegetable deluxe with light seasoning sauce?,"Can I get the Peking Duck with Half, and Vegetable Deluxe with Light Seasoning Sauce?","Can I get the Peking Duck with half, and Vegetable Deluxe with light seasoning sauce?","[{""name"": ""Peking Duck"", ""modifier_option"": ""Half""}, {""name"": ""Vegetable Deluxe"", ""modifier_option"": ""Light Seasoning Sauce""}]"
13,items_ordering_audios/2024_06_28 11_47_22 YhiDbA.wav,I will have the cheese omelette with toast and side avocado please.,"I'll have the Cheese Omelette with Toast, and Side Avocado please.","I'll have the Cheese Omelette with toast, and Side Avocado please.","[{""name"": ""Cheese Omelette"", ""modifier_option"": ""Toast""}, {""name"": ""Side Avocado"", ""modifier_option"": null}]"
14,items_ordering_audios/2024_06_28 11_48_27 sdgfoA.wav,Cool I get the triple chocolate and single tender with light mild.,"Could I get the Triple Chocolate, and Single Tender with Lite Mild?","Could I get the Triple Chocolate, and Single Tender with lite mild?","[{""name"": ""Triple Chocolate"", ""modifier_option"": null}, {""name"": ""Single Tender"", ""modifier_option"": ""Lite Mild""}]"
15,items_ordering_audios/2024_06_28 11_49_13 7PzKkg.wav,"Kulegatis Sistling Canolo with pistachio, Aquapana, and Huas Rancorous, with Sunny Side Up,","Could I get the Sicilian Cannolo with Pistachio, Acqua Panna, and Huevos Rancheros with Sunnyside Up?","Could I get the Sicilian Cannolo with pistachio, Acqua Panna, and Huevos Rancheros with sunnyside up?","[{""name"": ""Sicilian Cannolo"", ""modifier_option"": ""Pistachio""}, {""name"": ""Acqua Panna"", ""modifier_option"": null}, {""name"": ""Huevos Rancheros"", ""modifier_option"": ""Sunnyside Up""}]"
16,items_ordering_audios/2024_06_28 11_53_09 PW1ykg.wav,Could you add the Berea ramen with Biryar shredded beef and marinawa?,"Could you add the Birria Ramen with Birria / Shredded Beef, and Marinara?","Could you add the Birria Ramen with birria / shredded beef, and Marinara?","[{""name"": ""Birria Ramen"", ""modifier_option"": ""Birria / Shredded Beef""}, {""name"": ""Marinara"", ""modifier_option"": null}]"
17,items_ordering_audios/2024_06_28 12_20_02 4nT2HA.wav,I had a vegetarian side salad with ranch and side of sausage to my order.,"Add a Vegetarian with Side Salad w/Ranch, and Side Of Sausage to my order.","Add a Vegetarian with side salad w/ranch, and Side Of Sausage to my order.","[{""name"": ""Vegetarian"", ""modifier_option"": ""Side Salad w/Ranch""}, {""name"": ""Side Of Sausage"", ""modifier_option"": null}]"
18,items_ordering_audios/2024_06_28 12_20_03 LA6UGQ.wav,"Could I get the Lion King Roll, Rainbow Roll and Tuscany Rooney with medium?","Could I get the Lion King Roll, Rainbow Roll, and Tuscany Gourmet with Medium?","Could I get the Lion King Roll, Rainbow Roll, and Tuscany Gourmet with medium?","[{""name"": ""Lion King Roll"", ""modifier_option"": null}, {""name"": ""Rainbow Roll"", ""modifier_option"": null}, {""name"": ""Tuscany Gourmet"", ""modifier_option"": ""Medium""}]"
19,items_ordering_audios/2024_06_28 12_20_03 B51DfQ.wav,"Make it a Italian sausage with sordor roll, minstrony with a pint and stromboli medium with tomato sauce for me.","Make it a Italian Sausage with Sourdough Roll, Minestrone with Pint, and Stromboli (Medium) with Tomato Sauce for me.","Make it a Italian Sausage with sourdough roll, Minestrone with pint, and Stromboli (Medium) with tomato sauce for me.","[{""name"": ""Italian Sausage"", ""modifier_option"": ""Sourdough Roll""}, {""name"": ""Minestrone"", ""modifier_option"": ""Pint""}, {""name"": ""Stromboli (Medium)"", ""modifier_option"": ""Tomato Sauce""}]"
20,items_ordering_audios/2024_06_28 12_20_04 Bb0vMg.wav,"King Kong, Gunga, Minosur, and Horvict you can for me.","It will be the Cheese (King Kong), Dominga Mimosa Sour, and Barebottle Can for me.","It will be the Cheese (King Kong), Dominga Mimosa Sour, and Barebottle Can for me.","[{""name"": ""Cheese (King Kong)"", ""modifier_option"": null}, {""name"": ""Dominga Mimosa Sour"", ""modifier_option"": null}, {""name"": ""Barebottle Can"", ""modifier_option"": null}]"
21,items_ordering_audios/2024_06_28 12_20_04 1yAY7A.wav,One pozole with flour tortilla and panizado with blue cheese and cassidias diurena for me.,"One Pozole with Flour Tortilla, Filete Empanizado with Blue Cheese, and Quesadillas De Harina for me.","One Pozole with flour tortilla, Filete Empanizado with blue cheese, and Quesadillas De Harina for me.","[{""name"": ""Pozole"", ""modifier_option"": ""Flour Tortilla""}, {""name"": ""Filete Empanizado"", ""modifier_option"": ""Blue Cheese""}, {""name"": ""Quesadillas De Harina"", ""modifier_option"": null}]"
22,items_ordering_audios/2024_06_28 12_20_08 Ddl4FQ.wav,"I'll take a Corgan Zola with biscuit, patty mud with side yellow muster and Kelly Burger with Teter Dots.","I'll take a Gorgonzola with Biscuit, Patty Melt with SIDE YELLOW MUSTARD, and Cali Burger with Tater Tots","I'll take a Gorgonzola with biscuit, Patty Melt with side yellow mustard, and Cali Burger with tater tots","[{""name"": ""Gorgonzola"", ""modifier_option"": ""Biscuit""}, {""name"": ""Patty Melt"", ""modifier_option"": ""SIDE YELLOW MUSTARD""}, {""name"": ""Cali Burger"", ""modifier_option"": ""Tater Tots""}]"
23,items_ordering_audios/2024_06_28 16_14_44 _H6enA.wav,Could I get the original back of cheeseburger and Connie Cheese Dogg?,"Could I get the Original Bacon Cheeseburger, and Coney Cheese Dog?","Could I get the Original Bacon Cheeseburger, and Coney Cheese Dog?","[{""name"": ""Original Bacon Cheeseburger"", ""modifier_option"": null}, {""name"": ""Coney Cheese Dog"", ""modifier_option"": null}]"
